Name:              |UserName:            |Year:       |Grade:       |Hash: 
Ashleigh           |abourhilljk          |1           |7.01         |96a9131a4921adebce5b7eecffda7b5b391ca0d27ef7fa6f7673b56048f6c1a2
Levey              |lhanks8d             |1           |7.02         |80ee026d08f286fa93cfe707c31e1542c2c54bc2dd6c2d7dce52490f20d33097
Olimpia            |ocroftd4             |1           |7.03         |da15d33c6c7873463b6c067aaefabddf1c82551518caaa501f33f7d568b9f0c2
Vance              |vstrippelbo          |1           |7.03         |a1c12453421d898a395bcda5dc24e23f1b3457c2aae286d31e6009e554b0ed48
Cynthea            |cskeat8f             |1           |7.03         |779802666d8103f5b0a058f336bd0f08c56a9b1dd1bdca6c007338fdc8373508
Felice             |fyurshevnd           |1           |7.04         |06740d08e348f9b0debe556302a6eb0c5a14146a83fe85dea68409257b591eeb
Anett              |adibdin2m            |1           |7.05         |34ff2b341cc5d41ea4d938e4dfa8a70a345980380be515db1d273fb6035302b0
Rose               |rchaudronme          |1           |7.05         |7fbf51f78aba70554e266abd53eaf2d2fc651f4e259514086f47defcd4970ed1
Delilah            |dportern0            |1           |7.06         |67468d1bc6fce7dcd5f72587f1edbe23805f9aa9fe72f455767e077e66321206
Donal              |dkulas2d             |1           |7.07         |f6c3cbd180c2b0b4096d9ddc0ae9c4e857c2df11db0ea93d7b5e7efdc27c0d64
Hunfredo           |hhasselby81          |1           |7.08         |31b21a1f0555e2a89409b24dc024f48741b83445e3e6ec424ce0c87a186660f9
Yul                |yshurvillel5         |1           |7.09         |66f7e4fe7ce433499359d2869d1030d9874f6e62bc3c63b0e448997996d8c458
Jonathan           |jovid9p              |1           |7.1          |4a998a03cbed26a7f7b80d8ef5b88ca7a49aaefd70debca61a816df546038a6f
Chickie            |cfaithfullrj         |1           |7.1          |b379e082966cf97706f2077a235776f0c6093c31124bb95e1314c412ffb38bc3
Caldwell           |cfalconerbm          |1           |7.13         |1cf92d38e822818d27cb88ae9857296f505ee98d1e004a66b82d7f8b1ab6c445
Francine           |fkaesmansrn          |1           |7.13         |c26f2acaaa708d5751dc5a3ea201d95478c2f7d03aa6bd05600daa65292946be
Zaccaria           |znovellonp           |1           |7.14         |1cb67f72a8bedac2fd7b342e007f0607167413dbaeb198f9a74d684c687cb943
Cody               |chaskaynekc          |1           |7.14         |55f2829b55d8416dbf6195f46853f28e362c064414080911ad7501c5939da11f
Ely                |eyurivtsev6q         |1           |7.15         |de55190d81d03f677b5c4da487af24be88dd1ff30a9fcc0607bf2a8603a56a89
Crystie            |ccotterellql         |1           |7.16         |b067bc70a90ffc24c94c38fa9328763536b73df724e7090d2d94f10e1785aeb6
Lizzy              |ltrevinoq0           |1           |7.16         |d6f16e7c41767b6617f8d1437f8a042ef60252af660360b1f5c70ba41e0ffa40
Dugald             |dleadesct            |1           |7.17         |3cdd6878313a18ddea07fda69d384b0049a61f471cfaec26015552a7ca48557c
Gussie             |gkleinholzi4         |1           |7.17         |e568e394769b25a5b7d4ba79fc600322fa5815eafc8b7dd644387d31e5f016fc
Esmaria            |eoughz               |1           |7.19         |abed195ca4257782e330b5feda82c824f203e85fb1fbc8f79513b306c14fd58d
Vin                |vsimpoleih           |1           |7.19         |8f562a147245ad0248451597cb55ee7feb17384077c3cc042f518825062e512c
Benni              |btanslie59           |1           |7.21         |988be1d39e49a9d6d70098567890a13c047967660ea8258b353b6e49c9b4b630
Kirk               |koxenham1b           |1           |7.23         |7ef09770d27c47132aeb1ad3300974d2123e143ae065d6bf2ced530dcbf4332a
Judon              |jphilps2u            |1           |7.24         |20a5b27165ba1cf7767a14d9cd369bbe6be98808f4afbc071a2c36b3860b69b1
Ernestus           |ebidewellv           |1           |7.24         |c8705ed0ffa5d29e6c63c79922e9c0653aae6b9fae80b1476ce010e8011bb84c
Hally              |hpetzoltbz           |1           |7.26         |800ebf6ed7e1357f65796a1ac9154db2e068e98556b2e5f3ad42398163a3c8e3
Howey              |higlesia3n           |1           |7.26         |72489075d2f8aa46571377a445c5f41e9addcd04e88eaa2b53541dbaf49d9155
Gertruda           |glexa1e              |1           |7.26         |19de90f3912998b383b102ce7c40d95e6fa7b145eebbdf9c433534c7513eeb6d
Burgess            |bdickei5             |1           |7.28         |c20daa49d02dbfc86e222cfcdbcdca3c6284e910d672db5c56e11f6d39260b2d
Renae              |rboonrp              |1           |7.29         |9f9089e59b4d2a5dbfd37f8fedb0a44ec5dd8cf58ac08d44ce66339b59c79a26
Jaquenetta         |jhattamf1            |1           |7.32         |766e5fdd3b8d8c47385f0575953ac1ccf8c6ea8ef193767cfb9cd5c5a3fdac72
Marmaduke          |meveleighgy          |1           |7.34         |9e93451e90ff2dcde7a316113d597ef95b11449226c019eb284cd46412d68522
Amie               |amertschingax        |1           |7.35         |b3843c709f262ab33209f4414b68eb0e70e9ada1e3aac5f0208273361867063e
Edwina             |etolemanal           |1           |7.35         |50d6315495915a0111adc4cb119cbce61451790f52bd15555983d3bca033a58b
Danette            |dwarmingtono6        |1           |7.37         |ef24b2ff1631148a9802b4ff5c4112a6861765144ff4f3dfcaac3457df2b66f6
Joelly             |jgrishakovd5         |1           |7.39         |646e43d8b8c9e997839ce622fbc255dee7d9188308e1e0b0400be722fab5e6df
Beverley           |bmacksteadey         |1           |7.41         |28b99d1fe24296143b9df50c55d9f9e450456ae8d6302d65072cd33964837f5d
Merilee            |mbassilfm            |1           |7.42         |a2fe14d351bd0f33ea6fd89eba8de8c23b321f117547b6e7ce609341889e94df
Rickey             |rwoodwinfw           |1           |7.46         |031500330cfeff01ce646c214d29dd217fbe49716cf26293a58b26d049ca505f
