Name         |UserName          |Gender  |Year |Grade |Hash
Shayla       |sspenton6f        |Female  |1    |7.04  |1456b759b4361b25c13bc33240cf40c06f36f7f32162ea23bd1c36121ee5b555
Kendall      |kbattabeeeo       |Male    |1    |7.05  |967f0b9b21ca4235f039ae0e02d1b4b316e8f41b936207321d62f8a98f858df5
Lucretia     |lfeehanlh         |Female  |1    |7.06  |1990a713115acbb1975057f1dc0d3a69a3f97583a6d62de741f02cbf680928ad
Joseito      |jtoffoloni3i      |Male    |1    |7.07  |a9edf7a24af7d45ba1ae1cf4e2fb99f43ca2a3c8f4fe1f449219fa30e35087b4
Rance        |rdowdeswellj7     |Male    |1    |7.1   |e5a72d75dbe182ec14b6af294c24b09074cca81e3625281527b3716b4412d17a
Bordy        |bstockingsr9      |Male    |1    |7.14  |e8211c763eea2deac9d0a74d789015f31c5b6b2574df0d6651ec749bcc317a0a
Lisette      |lstather67        |Female  |1    |7.14  |e40f4f37d3d1648dd2945d585fdbd509ce16b7425588c91f55c8dfe0155ade6a
Dinnie       |dkhristyukhinpz   |Female  |1    |7.19  |ae45ec22e5c1d125ec13ee80b4460337f9d54fb01bb7df6bb1ca16ec7d65e019
Tuck         |tmoloneygv        |Male    |1    |7.23  |1bb2813bac16135cf893bf51ca29b3c48dbcf8749ca2ee0f32750c7048b32536
Klaus        |kklimkovb4        |Male    |1    |7.24  |4c4a48814190d4a6491460328746d40e879bb664d3e0c0a5ab64d849efdd6e4a
Bartie       |bhubbins27        |Male    |1    |7.25  |c25f3d0691eaf7f060a2e812f8dda35cc6d0819a820cb56a2b4ca4c9364cb851
Devlen       |dmuskqx           |Male    |1    |7.26  |aa5f60cf9915c324dc007d2f0ab0d3aae30eae4ce73c7fbbb52c3e9a18dc4bae
Jessalin     |jagett66          |Female  |1    |7.28  |657e08f9f3e7f53f4eaf91ac9426f18b035508427d1ec26aac803a27e55eb9eb
Walden       |wowlnerdk         |Male    |1    |7.29  |15d1d3b6b423abb15f0913ad0e8ca267d9df831b80734f63e2d8ddcca5512e3c
Waldon       |wdevote2c         |Male    |1    |7.29  |7f8dbde7e834620d9f33619827c913f7aef436519074826ce73135cffd35cc73
Raimondo     |rhullyerg9        |Male    |1    |7.31  |3ac6019d2632d43cab927dd060b5a0283b2bc625e05c5c9f8e66fc5726cad04b
Yulma        |ypossa9k          |Male    |1    |7.35  |e9f99655c5560c49e9a66f2d0ac4413df50894dc9e158a70bdf8bac2e37f5e70
Donnie       |dswigg6g          |Female  |1    |7.38  |77e9f750fc35bda9eb16196b4f2c4c5080434b1b9c00383678b10bbe846a83ab
Mariska      |mlowere0          |Female  |1    |7.42  |4f8a029fe594f743ad272406492cd17a14da284ed1aa5b3aae7e19f2c342786e
Jade         |jmurfilljy        |Female  |1    |7.42  |f23cfff73eb0c187f83c0a25a2660ea9cd70e7e93a7961e2e17812520d0ed5c8
Rolland      |rkniftonde        |Male    |1    |7.46  |9f4518aa2ea66d3c807e88d93fdc8211d5090a176971bd833cd1bb492e3fa32b
Joyann       |jgerardetjo       |Female  |1    |7.47  |522a072b077b8a0d6d8c992d97a42672eafdbd8aed373db0c10e2d7e76b1e07f
Rhett        |ruttingae         |Male    |1    |7.47  |dcb12fb9c396dad3874b7d3f11d4b6d30adf36e7c1cebdb83bd842073f8ecc59
Fraser       |fcornboroughh7    |Male    |1    |7.5   |4c77ff751e6152625b9c2f5cdf1c248c92f883ef74be01b975e441afa4b54c86
Lurlene      |ltenbroekpp       |Female  |1    |7.51  |8bae911ecf2ca97a0a361840aeea820d3555d6df2a84070c9270d79d1817df72
Quincy       |qwheelband6m      |Male    |1    |7.54  |3df5c1d6981aa6a9f4c924188f3ecd566a6889bc7cfd90234f5857a2e2a4ff1c
Nina         |nchuterez         |Female  |1    |7.58  |08352c691c2713705221c525c66700b9728741c3c2be9671bcb97b330af1d85d
Dierdre      |dbaszniakl8       |Female  |1    |7.58  |84f62ee5df0c4d103009590594fcabaf65e3b36f0f3592be2685005cdee394a0
Pet          |plillgardod       |Female  |1    |7.61  |f24d924e54231cb35c6127751e671f0d77c0c662443000229912ca0a40e337f5
Des          |dmbarrona0        |Male    |1    |7.61  |616249788e4d7ca554ba28dd29795f1d969a8f702a14939a6f65651465e96deb
Zach         |zstaningdb        |Male    |1    |7.63  |1c46da1915eaa96010f7a5a364fe948831c621cbb99939d21be1aa8338d94f1d
Godfry       |gmccabe98         |Male    |1    |7.64  |ffb28ba057fe59a018ae69ec9164816b2fc726819abc879d6a824949fb8f2474
Magda        |mdenhaml6         |Female  |1    |7.67  |29577c49863a1e08c04942c8f6e932dc205d9ab648372a48ca0521ef1d18af6a
Archambault  |apesselho         |Male    |1    |7.7   |0d83f1f7f67c03fd915f86b8bddd7e072015111840f7dd18a3184b06cb17361c
Alexandra    |arandlesoni3      |Female  |1    |7.71  |575b2f9be7c5abea2c0039941bccc3e29a487506bcc53292ffe0f07faf54bf4f
Son          |scammkr           |Male    |1    |7.71  |fe5f8ad3e26cbaf97bcf866a0c791ab71c30a6fda3ff7cb2a1ae516d309eedcd
Jenifer      |jchapier32        |Female  |1    |7.77  |c692d4c1085d38b4f13f1bdce0ff9ee65bbae642ee77e7a13f78a01114be4d84
Agace        |akinderny         |Female  |1    |7.79  |fad654d5dcf4dc455fa16148d23b200087cdaa3301aac14adb961f186204bc18
Garvin       |gschindler6t      |Male    |1    |7.79  |6436898c0dedafa2d49f62c03c229ed3be65561c82826f1fcf0c4e73daf703fe
Mata         |mraddenburybl     |Male    |1    |7.83  |c35cb8a9e7312ca00cfbab761ae6808a1dc7091c4e9b98f72def1f9f35d5e8ad
Bianka       |brampage2e        |Female  |1    |7.85  |9f31312e637e7a19ee5db2b21ee8f18a6d0ef8425954f1a5f4f49f69df887ecf
Beverlie     |bdyballbg         |Female  |1    |7.87  |7bfb07ee90bb79d87d05ccc3e418338c177d7375138eff5f1d8a57fc3f2623ba
Chariot      |cahrend1a         |Male    |1    |7.88  |4809d48e99b33464b44ff4eb6024787bb039abe76f1c26f94f0b71b82ab02037
Jacob        |jtorbeckk2        |Male    |1    |7.91  |e074bf67c85ebab4bab44e42ea769178ce1426e6c917526f3310985190e27202
Dorene       |dgiuronirl        |Female  |1    |7.91  |b42315dbea42a830fdbca97a993b4facb1075442ef8347b80ad95c373bb3f053
Artie        |afeige7b          |Male    |1    |7.93  |85c3f54ec7c41694075c9541504ec5a6a435b2d78578332ed64c46154c335133
Alleen       |abonesspw         |Female  |1    |7.94  |546ca4ef6f3ae25d77c44b3fab8aa35f3284ec7271607cc4f789375cf568a39f
Josephina    |jbraileyc8        |Female  |1    |7.97  |5f760db399158807647a14b4c56e790fa17adc6c537b073f6c90c552243b2117
Jeanette     |jsanchiz3j        |Female  |1    |7.97  |96497701297931c175a3b08d1e283198ba2a6fb5bbc0727251aac853207fcf8b
Ashlee       |asimmonitee9      |Female  |1    |7.98  |23371ca6736ebbe3aedd1221d1423c8a6c74e279c61d12a5e779b88ea233d850
Teri         |tgillattdi        |Female  |1    |8.03  |20a51f67db39947a1adaac7dc5d6e3538ebf637bf2ad0f308e7128a042f18a09
Christopher  |cmcbay6           |Male    |1    |8.05  |73879da5cb7858a6900e7ba948927bdd6289f1bad3eedc0bd4209bda8b943c1b
Katerina     |kimpettog         |Female  |1    |8.07  |284c7e866fde54f38faba964876fed1e6011816cb6913432d4137af0d714680a
Richart      |rpowley3p         |Male    |1    |8.07  |2c80a6ae1bd2103e51b73f79b9e860b0dae9627eb089726a768e328ede3c0a7b
Reggie       |rcudbirdq2        |Female  |1    |8.08  |9078f7591f9053ae7e18b5ba4914914fd52964a508e8930ed2cd72ef95e1b1b5
Angelique    |aingramih         |Female  |1    |8.12  |e161a52d75f7df98bcb184316a6e4c44a16ea0db9be8a58933f6df9f4c93038c
Geordie      |gstennard9z       |Male    |1    |8.13  |15c0fcdf5c985132f9cea44004c8b4148a4762b262547dade2c375e15bcd7379
Tomlin       |trougheyrr        |Male    |1    |8.15  |a509981f48f3fcffa24bc13a044a09ae78b70098cb3e44d01db10bf78819f601
Diego        |ddorrellg5        |Male    |1    |8.15  |ed240d01f1e1a9cf76379f7cb65bd5566058ed9dea09a991b7629803f0b5324d
Carmelia     |ctefftk1          |Female  |1    |8.16  |bc007065c88925e03a8938ada5ede8e3c650235fce78efa521047c7d7ef9230f
Tris         |trambaut7p        |Male    |1    |8.16  |dfbc34f0e88611d8167548fc82bd60f4ee1ff8c2ab26f9f522e96349e433257b
Eadmund      |ehowardgaterb0    |Male    |1    |8.2   |fc606ed64d34d55165ccf3eb8d0ec4c15623e6261833f3201cace652896e3a01
Stern        |sbaughk5          |Male    |1    |8.21  |6a3ab5045cc5f6e2e313b9c085f667bcaefb3014a89ec36510661ffec7efd490
Pail         |pandrissrb        |Male    |1    |8.23  |9cc01ef7f12371295e90876ddb35ff74868ac07c21bb6662e197aef529e62c65
