Name:              |UserName:            |Year:       |Grade:       |Hash: 
Shayla             |sspenton6f           |1           |7.04         |e1ca4b2604daeb7e5de3b69192bcf34edcca5342104ce0ee837ee45471bcca72
Kendall            |kbattabeeeo          |1           |7.05         |745da40b5dbeb7656e2698d7c437d0b305a5d397a068af41be1a157720de55bb
Lucretia           |lfeehanlh            |1           |7.06         |ab38a16fdc4f1d7eae054f06640e06fa5aedb37feefe0762e2420c67cb269499
Joseito            |jtoffoloni3i         |1           |7.07         |726d5f68ce48a539db82bf469ee9922d638a48d41ed86170f49d5bfc0cd69323
Rance              |rdowdeswellj7        |1           |7.1          |3d59e677e3e5d423bbbbf4f70786d6dfd2de2a6584cc8b0a896501f9acd8a2d2
Bordy              |bstockingsr9         |1           |7.14         |3d455105d78f8c845a32a448e0831b3c3229f5400c87de17e9dfbea980b87206
Lisette            |lstather67           |1           |7.14         |a2878de970619813c2588d263f7be1fa7a310c9df2949a036149b49eced62458
Dinnie             |dkhristyukhinpz      |1           |7.19         |0489eb0ca90cd5712988379217dedde063efb400f81aebc2b3d3841782c96ce1
Tuck               |tmoloneygv           |1           |7.23         |ecacab7b2ebebaaf16750beea58823432388fce8b5bdeb4df043cee7317f7117
Klaus              |kklimkovb4           |1           |7.24         |4fc8ac3f427315e6ad3194607d3a26d8221c263b00ab631a2ce093fe9f23a76e
Bartie             |bhubbins27           |1           |7.25         |0a24f8706de32bcb53db17b5a807d8e62d77aac82c16a509726e2051454a4d84
Devlen             |dmuskqx              |1           |7.26         |be484fb1648ac890c85ab1f3d5c1cbb915c5962e92310d64179fb9635ddda99a
Jessalin           |jagett66             |1           |7.28         |4a89ce2e0b754a5b8d89e5d08a1fb32f9948dad5cc4aa5f1dd7250588c67da22
Waldon             |wdevote2c            |1           |7.29         |9d5f19fbb069692d20b0cf5a4ebb5fd7cd35f04f61277202307d0b70286ba0a3
Walden             |wowlnerdk            |1           |7.29         |ea41f130165008fd9550d42966bc816b9b093e658fbe8f1c696c7999fb570b5a
Raimondo           |rhullyerg9           |1           |7.31         |40010062758fff07632643b28385ef9945cf7391fb2b18b69c89f1ee00991397
Yulma              |ypossa9k             |1           |7.35         |5176ac902cde806474e42a0bf2ae3d32e7f9062abb49829d8441f0502382b2e6
Donnie             |dswigg6g             |1           |7.38         |39691a98a54d556093ad9f66b1a534ecf4ec56b2b12ddb8f57de0c4c2acc0481
Jade               |jmurfilljy           |1           |7.42         |6568b0abb501a5ecbd175c93272b6384825ec8650eb8047e6614fcb885957aae
Mariska            |mlowere0             |1           |7.42         |9dbc3e4950f01bee35894ed9628b7f837e2dd85ecb4348c4c0c9c399634ee4c6
Rolland            |rkniftonde           |1           |7.46         |3b2644066d5cc019e16d48da27186e6e4a5dc486c30b71b057091252d4fdbb63
Joyann             |jgerardetjo          |1           |7.47         |055c053721d552373aab8c42268a026752ed7b1c251a9bcbaf015ab04786e163
Rhett              |ruttingae            |1           |7.47         |bed561b1a2d22923ff1663793a089cf8f1d9363fb7c3f6056a2b1a90e7b5bab0
Fraser             |fcornboroughh7       |1           |7.5          |0d289a3998ab3b0538c7d65f199995a3f879f9d2f1789bf25027244558288d96
